,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
48,2022-04-04,154.3019217750111,143.2622567203969,160.96250746802525,154.3019217750111,154.3019217750111,-2.0168434891635267,-2.0168434891635267,-2.0168434891635267,-2.0168434891635267,-2.0168434891635267,-2.0168434891635267,0.0,0.0,0.0,152.28507828584756
49,2022-04-05,154.1511248243354,144.89378791748254,162.43813630121582,154.1511248243354,154.1511248243354,-1.111832336644253,-1.111832336644253,-1.111832336644253,-1.111832336644253,-1.111832336644253,-1.111832336644253,0.0,0.0,0.0,153.03929248769114
50,2022-04-06,154.00032787365964,143.97931830620445,161.08644252500875,154.00032787365964,154.00032787365964,-1.1516408624920365,-1.1516408624920365,-1.1516408624920365,-1.1516408624920365,-1.1516408624920365,-1.1516408624920365,0.0,0.0,0.0,152.8486870111676
51,2022-04-07,153.84953092298392,144.02917153166374,161.0394558177507,153.84953092298392,153.84953092298392,-1.5674611702416426,-1.5674611702416426,-1.5674611702416426,-1.5674611702416426,-1.5674611702416426,-1.5674611702416426,0.0,0.0,0.0,152.28206975274227
52,2022-04-08,153.69873397230816,143.3960916825634,161.32984708256365,153.69873397230816,153.69873397230816,-1.3803023533515493,-1.3803023533515493,-1.3803023533515493,-1.3803023533515493,-1.3803023533515493,-1.3803023533515493,0.0,0.0,0.0,152.31843161895662
53,2022-04-11,153.24634312028095,142.0700309120967,160.18527834148745,153.24634312028095,153.24634312028095,-2.016843489163622,-2.016843489163622,-2.016843489163622,-2.016843489163622,-2.016843489163622,-2.016843489163622,0.0,0.0,0.0,151.22949963111733
54,2022-04-12,153.0955461696052,142.98401022154516,161.3494556640705,153.0955461696052,153.0955461696052,-1.1118323366435574,-1.1118323366435574,-1.1118323366435574,-1.1118323366435574,-1.1118323366435574,-1.1118323366435574,0.0,0.0,0.0,151.98371383296166
55,2022-04-13,152.94474921892947,143.0027447048101,160.8723913600138,152.94474921892947,152.94474921892947,-1.1516408624919297,-1.1516408624919297,-1.1516408624919297,-1.1516408624919297,-1.1516408624919297,-1.1516408624919297,0.0,0.0,0.0,151.79310835643756
56,2022-04-18,152.19076446555076,141.591012348423,159.58623875092775,152.19076446555076,152.19076446555076,-2.016843489169926,-2.016843489169926,-2.016843489169926,-2.016843489169926,-2.016843489169926,-2.016843489169926,0.0,0.0,0.0,150.17392097638083
57,2022-04-19,152.0399675182811,141.9844198254528,159.53245273119202,152.0399675182811,152.0399675182811,-1.1118323366419416,-1.1118323366419416,-1.1118323366419416,-1.1118323366419416,-1.1118323366419416,-1.1118323366419416,0.0,0.0,0.0,150.92813518163913
58,2022-04-20,151.88917057101145,141.76504672008744,159.64198000229973,151.88917057101145,151.88917057101145,-1.1516408624918224,-1.1516408624918224,-1.1516408624918224,-1.1516408624918224,-1.1516408624918224,-1.1516408624918224,0.0,0.0,0.0,150.73752970851962
59,2022-04-21,151.73837362374175,141.495777656055,159.0001182913036,151.73837362374175,151.73837362374175,-1.5674611702354329,-1.5674611702354329,-1.5674611702354329,-1.5674611702354329,-1.5674611702354329,-1.5674611702354329,0.0,0.0,0.0,150.1709124535063
60,2022-04-22,151.58757667647208,140.75198294456513,158.76393851178878,151.58757667647208,151.58757667647208,-1.3803023533597,-1.3803023533597,-1.3803023533597,-1.3803023533597,-1.3803023533597,-1.3803023533597,0.0,0.0,0.0,150.2072743231124
61,2022-04-25,151.13518583466308,140.82981095962162,157.91513344140986,151.13518583466308,151.13518583466308,-2.016843489170021,-2.016843489170021,-2.016843489170021,-2.016843489170021,-2.016843489170021,-2.016843489170021,0.0,0.0,0.0,149.11834234549306
62,2022-04-26,150.9843888873934,140.62171752522832,158.4133658900947,150.9843888873934,150.9843888873934,-1.1118323366480705,-1.1118323366480705,-1.1118323366480705,-1.1118323366480705,-1.1118323366480705,-1.1118323366480705,0.0,0.0,0.0,149.87255655074534
63,2022-04-27,150.83359194012374,140.51911107934748,158.51256742459637,150.83359194012374,150.83359194012374,-1.1516408624917156,-1.1516408624917156,-1.1516408624917156,-1.1516408624917156,-1.1516408624917156,-1.1516408624917156,0.0,0.0,0.0,149.68195107763202
64,2022-04-28,150.6827949928541,139.59230251075172,157.8952769660102,150.6827949928541,150.6827949928541,-1.5674611702339332,-1.5674611702339332,-1.5674611702339332,-1.5674611702339332,-1.5674611702339332,-1.5674611702339332,0.0,0.0,0.0,149.11533382262016
65,2022-04-29,150.5319980436035,140.46294477173873,158.69336780311951,150.5319980436035,150.5319980436035,-1.3803023533605288,-1.3803023533605288,-1.3803023533605288,-1.3803023533605288,-1.3803023533605288,-1.3803023533605288,0.0,0.0,0.0,149.15169569024297
66,2022-05-02,150.0796071958517,139.064314751593,157.16399588216328,150.0796071958517,150.0796071958517,-2.0168434891594917,-2.0168434891594917,-2.0168434891594917,-2.0168434891594917,-2.0168434891594917,-2.0168434891594917,0.0,0.0,0.0,148.0627637066922
67,2022-05-04,149.77801329735053,139.44639433002584,157.92032655398347,149.77801329735053,149.77801329735053,-1.1516408624930539,-1.1516408624930539,-1.1516408624930539,-1.1516408624930539,-1.1516408624930539,-1.1516408624930539,0.0,0.0,0.0,148.62637243485747
68,2022-05-05,149.62721634809992,139.45682013049233,157.63492486728666,149.62721634809992,149.62721634809992,-1.5674611702394836,-1.5674611702394836,-1.5674611702394836,-1.5674611702394836,-1.5674611702394836,-1.5674611702394836,0.0,0.0,0.0,148.05975517786044
69,2022-05-06,149.47641939884932,139.14630701016736,157.14452539893213,149.47641939884932,149.47641939884932,-1.3803023533613574,-1.3803023533613574,-1.3803023533613574,-1.3803023533613574,-1.3803023533613574,-1.3803023533613574,0.0,0.0,0.0,148.09611704548797
70,2022-05-09,149.02402855109753,138.4324477184561,155.58204354614097,149.02402855109753,149.02402855109753,-2.016843489162691,-2.016843489162691,-2.016843489162691,-2.016843489162691,-2.016843489162691,-2.016843489162691,0.0,0.0,0.0,147.00718506193485
71,2022-05-10,148.87323160184695,138.7736153620311,156.21745952353984,148.87323160184695,148.87323160184695,-1.1118323366457588,-1.1118323366457588,-1.1118323366457588,-1.1118323366457588,-1.1118323366457588,-1.1118323366457588,0.0,0.0,0.0,147.7613992652012
72,2022-05-11,148.72243465259638,138.11057700249043,156.80091974916613,148.72243465259638,148.72243465259638,-1.1516408624915015,-1.1516408624915015,-1.1516408624915015,-1.1516408624915015,-1.1516408624915015,-1.1516408624915015,0.0,0.0,0.0,147.5707937901049
73,2022-05-12,148.57163772173203,138.72472243475096,156.8763831605092,148.57163772173203,148.57163772173203,-1.567461170237984,-1.567461170237984,-1.567461170237984,-1.567461170237984,-1.567461170237984,-1.567461170237984,0.0,0.0,0.0,147.00417655149406
74,2022-05-13,148.4208407908677,137.9261357142631,155.86899574080218,148.4208407908677,148.4208407908677,-1.3803023533523735,-1.3803023533523735,-1.3803023533523735,-1.3803023533523735,-1.3803023533523735,-1.3803023533523735,0.0,0.0,0.0,147.04053843751532
75,2022-05-16,147.96844999827462,137.30736563834216,155.0250909905992,147.96844999827462,147.96844999827462,-2.0168434891658906,-2.0168434891658906,-2.0168434891658906,-2.0168434891658906,-2.0168434891658906,-2.0168434891658906,0.0,0.0,0.0,145.95160650910873
